concept,translation
病变内见丰富血管网,Rich Vascular Network within the Lesion
病变表面血管扩张,Abnormal Vasodilation at the Lesion Surface
静脉期病变表面血管扩张,Abnormal Vasodilation on the Lesion Surface During Venous Phase
静脉期团状强荧光,Clustered Hyperfluorescence During Venous Phase
静脉期团状弱荧光,Clustered Hypofluorescence During Venous Phase
静脉期点片状强荧光,Abnormal Pinpoint Hyperfluorescence During Venous Phase
视盘边界欠清,Blurred Optic Disc Margins
静脉期视盘边界欠清,Blurred Optic Disc Margins in Venous Phase
团状强荧光,Clustered Hyperfluorescence
晚期不变,Constant Late-Stage Fluorescence
静脉早期弥漫强荧光, Diffuse Hyperfluorescence in Early Venous Phase
静脉早期团状强荧光, Clustered Hyperfluorescence in Early Venous Phase
静脉早期团状弱荧光, Clustered Hypofluorescence in Early Venous Phase
静脉早期点片状强荧光,Early Pinpoint Hyperfluorescence in Venous Phase
早期强荧光为主,Early-Stage Hyperfluorescence Predominates
早期弱荧光为主,Early-Stage Hypofluorescence Predominates
随时间荧光逐渐增强,Gradually Increasing Fluorescence Intensity Over Time
静脉期可探及半球形实性病变,Hemispherical Solid Lesions During Venous Phase
动脉期强荧光为主,Hyperfluorescence Primarily During Arterial Phase
动脉早期团状强荧光,Clustered Hyperfluorescence During Early Arterial Phase
静脉早期强荧光为主,Hyperfluorescence Primarily During Early Venous Phase
静脉期强荧光为主,Hyperfluorescence Primarily During Venous Phase
静脉期弱荧光为主,Hypofluorescence Primarily During Venous Phase
动静脉期随时间荧光逐渐增强,Increasing Fluorescence Intensity During the Arteriovenous Phase
静脉期随时间荧光逐渐增强,Increasing Fluorescence Intensity During the Venous Phase
下方视网膜隆起,Inferior Retinal Elevation
静脉期下方视网膜隆起,Inferior Retinal Elevation During Venous Phase
动脉期强荧光改变,Large Fluorescence Changes in Arterial Phase
静脉期强荧光改变,Large Fluorescence Changes in Venous Phase
晚期随时间荧光逐渐退行,Late-Stage Decreasing Fluorescence Intensity
晚期弥漫强荧光,Late-Stage Diffuse Hyperfluorescence
晚期弱荧光为主,Late-Stage Hypofluorescence Predominates
晚期随时间荧光逐渐增强,Late-Stage Increasing Fluorescence Intensity
晚期荧光渗漏,Late-Stage Leakage
晚期轻微病灶渗漏,Late-Stage Leakage
晚期荧光着染,Late-Stage Staining
荧光渗漏,Leakage
动脉期团状强荧光,Clustered Hyperfluorescence in Arterial Phase
静脉期荧光遮蔽灶,Obscured Venous-Phase Hypofluorescence
斑片状弱荧光,Patchy (“Stippled”) Hypofluorescence
点片状强荧光,Pinpoint Hyperfluorescence
动静脉期点片状强荧光,Pinpoint Hyperfluorescence in Arteriovenous Phase
晚期强荧光为主,Primarily Late-Stage Hyperfluorescence
动脉早期病变内见丰富血管网,Rich Vascular Network in Early Arterial Phase
静脉期病变内见丰富血管网,Rich Vascular Network in Venous Phase
荧光着染,Staining
静脉期荧光渗漏,Venous Phase Leakage
病灶内双循环,“Double Circulation” Pattern
晚期病灶内双循环,Late-Stage ‘Double Circulation’ Pattern in Lesions
病变内见丰富血管网,Rich Vascular Network within the Lesion
团状强荧光,Clustered Hyperfluorescence
团状弱荧光,Clustered Hypofluorescence
静脉期团状强荧光,Clustered Venous Phase Hyperfluorescence
持续低荧光,Constant Hypofluorescence
晚期不变,Constant Late-Stage Fluorescence
随时间荧光逐渐退行,Decreasing Fluorescence Intensity
弱荧光改变,Dynamic Hypofluorescence Changes
早期团状强荧光,Early-Stage Clustered Hyperfluorescence
早期斑片状弱荧光,Early-Stage Patchy (“Stippled”) Hypofluorescence
早期点片状强荧光,Early-Stage Pinpoint Hyperfluorescence
早期病变内见丰富血管网,Early-Stage Rich Vascular Network
随时间荧光逐渐增强,Gradually Increasing Fluorescence Intensity Over Time
下方视网膜隆起,Inferior Retinal Elevation
强荧光改变,Large Fluorescence Changes
静脉期强荧光改变,Large Fluorescence Changes in Venous Phase
"晚期形成""冲刷""现象","Late-Stage ""Washout"" Phenomenon"
晚期随时间荧光逐渐退行,Late-Stage Decreasing Fluorescence Intensity
晚期轻微病灶渗漏,Late-Stage Leakage
