concept,translation,,,,,
"FA, 病变内见丰富血管网","FA, Rich Vascular Network within the Lesion",,,,,
"FA, 病变表面血管扩张","FA, Abnormal Vasodilation at the Lesion Surface",,,,,
"FA, 静脉期病变表面血管扩张","FA, Abnormal Vasodilation on the Lesion Surface During Venous Phase",,,,,
"FA, 静脉期团状强荧光","FA, Clustered Hyperfluorescence During Venous Phase",,,,,
"FA, 静脉期团状弱荧光","FA, Clustered Hypofluorescence During Venous Phase",,,,,
"FA, 静脉期点片状强荧光","FA, Abnormal Pinpoint Hyperfluorescence During Venous Phase",,,,,
"FA, 视盘边界欠清","FA, Blurred Optic Disc Margins",,,,,
"FA, 静脉期视盘边界欠清","FA, Blurred Optic Disc Margins in Venous Phase",,,,,
"FA, 团状强荧光","FA, Clustered Hyperfluorescence",,,,,
"FA, 晚期不变","FA, Constant Late-Stage Fluorescence",,,,,
"FA, 静脉早期弥漫强荧光","FA,  Diffuse Hyperfluorescence in Early Venous Phase",,,,,
"FA, 静脉早期团状强荧光","FA,  Clustered Hyperfluorescence in Early Venous Phase",,,,,
"FA, 静脉早期团状弱荧光","FA,  Clustered Hypofluorescence in Early Venous Phase",,,,,
"FA, 静脉早期点片状强荧光","FA, Early Pinpoint Hyperfluorescence in Venous Phase",,,,,
"FA, 早期强荧光为主","FA, Early-Stage Hyperfluorescence Predominates",,,,,
"FA, 早期弱荧光为主","FA, Early-Stage Hypofluorescence Predominates",,,,,
"FA, 随时间荧光逐渐增强","FA, Gradually Increasing Fluorescence Intensity Over Time",,,,,
"FA, 静脉期可探及半球形实性病变","FA, Hemispherical Solid Lesions During Venous Phase",,,,,
"FA, 动脉期强荧光为主","FA, Hyperfluorescence Primarily During Arterial Phase",,,,,
"FA, 动脉早期团状强荧光","FA, Clustered Hyperfluorescence During Early Arterial Phase",,,,,
"FA, 静脉早期强荧光为主","FA, Hyperfluorescence Primarily During Early Venous Phase",,,,,
"FA, 静脉期强荧光为主","FA, Hyperfluorescence Primarily During Venous Phase",,,,,
"FA, 静脉期弱荧光为主","FA, Hypofluorescence Primarily During Venous Phase",,,,,
"FA, 动静脉期随时间荧光逐渐增强","FA, Increasing Fluorescence Intensity During the Arteriovenous Phase",,,,,
"FA, 静脉期随时间荧光逐渐增强","FA, Increasing Fluorescence Intensity During the Venous Phase",,,,,
"FA, 下方视网膜隆起","FA, Inferior Retinal Elevation",,,,,
"FA, 静脉期下方视网膜隆起","FA, Inferior Retinal Elevation During Venous Phase",,,,,
"FA, 动脉期强荧光改变","FA, Large Fluorescence Changes in Arterial Phase",,,,,
"FA, 静脉期强荧光改变","FA, Large Fluorescence Changes in Venous Phase",,,,,
"FA, 晚期随时间荧光逐渐退行","FA, Late-Stage Decreasing Fluorescence Intensity",,,,,
"FA, 晚期弥漫强荧光","FA, Late-Stage Diffuse Hyperfluorescence",,,,,
"FA, 晚期弱荧光为主","FA, Late-Stage Hypofluorescence Predominates",,,,,
"FA, 晚期随时间荧光逐渐增强","FA, Late-Stage Increasing Fluorescence Intensity",,,,,
"FA, 晚期荧光渗漏","FA, Late-Stage Leakage",,,,,
"FA, 晚期轻微病灶渗漏","FA, Late-Stage Leakage, Mild",,,,,
"FA, 晚期荧光着染","FA, Late-Stage Staining",,,,,
"FA, 荧光渗漏","FA, Leakage",,,,,
"FA, 动脉期团状强荧光","FA, Clustered Hyperfluorescence in Arterial Phase",,,,,
"FA, 静脉期荧光遮蔽灶","FA, Obscured Venous-Phase Hypofluorescence",,,,,
"FA, 斑片状弱荧光","FA, Patchy (“Stippled”) Hypofluorescence",,,,,
"FA, 点片状强荧光","FA, Pinpoint Hyperfluorescence",,,,,
"FA, 动静脉期点片状强荧光","FA, Pinpoint Hyperfluorescence in Arteriovenous Phase",,,,,
"FA, 晚期强荧光为主","FA, Primarily Late-Stage Hyperfluorescence",,,,,
"FA, 动脉早期病变内见丰富血管网","FA, Rich Vascular Network in Early Arterial Phase",,,,,
"FA, 静脉期病变内见丰富血管网","FA, Rich Vascular Network in Venous Phase",,,,,
"FA, 荧光着染","FA, Staining",,,,,
"FA, 静脉期荧光渗漏","FA, Venous Phase Leakage",,,,,
"ICGA, 病灶内双循环","ICGA, “Double Circulation” Pattern",,,,,
"ICGA, 晚期病灶内双循环","ICGA, Late-Stage ‘Double Circulation’ Pattern in Lesions",,,,,
"ICGA, 病变内见丰富血管网","ICGA, Rich Vascular Network within the Lesion",,,,,
"ICGA, 团状强荧光","ICGA, Clustered Hyperfluorescence",,,,,
"ICGA, 团状弱荧光","ICGA, Clustered Hypofluorescence",,,,,
"ICGA, 静脉期团状强荧光","ICGA, Clustered Venous Phase Hyperfluorescence",,,,,
"ICGA, 持续低荧光","ICGA, Constant Hypofluorescence",,,,,
"ICGA, 晚期不变","ICGA, Constant Late-Stage Fluorescence",,,,,
"ICGA, 随时间荧光逐渐退行","ICGA, Decreasing Fluorescence Intensity",,,,,
